Label,X,Y,Region
a1,-5.39,222.38,outer
a2,254.76,222.5,outer
a3,343.3,60,outer
a4,342.79,34.9,outer
a5,247.64,-13.46,outer
a6,103.75,-14.48,outer
a7,-5.56,-13.27,outer
a8,26.75,150.26,inner_1
a9,38.085,150.26,inner_1
a10,38.085,145.28,inner_1
a11,26.75,145.28,inner_1
a12,26.73,82.1,inner_1
a13,39.48,82.04,inner_1
a14,39.55,38.81,inner_1
a15,58.15,38.73,inner_1
a16,58.23,31.25,inner_1
a17,66.82,31.22,inner_1
a18,66.82,21.27,inner_1
a19,81.24,21.24,inner_1
a20,81.24,31.22,inner_1
a21,99.87,31.2,inner_1
a22,99.76,49.7,inner_1
a23,81.25,49.67,inner_1
a24,81.25,65.8,inner_1
a25,89.7,65.8,inner_1
a26,89.74,82.1,inner_1
a27,99.8,82.03,inner_1
a28,99.8,102,inner_1
a29,91.26,101.86,inner_1
a30,91.26,110.6,inner_1
a31,81.25,110.56,inner_1
a32,81.25,136.8,inner_1
a33,68.2,136.87,inner_1
a34,68.2,152.74,inner_1
a35,51.13,152.73,inner_1
a36,51.13,160.22,inner_1
a37,59.72,160.24,inner_1
a38,59.66,170.25,inner_1
a39,51.1,170.22,inner_1
a40,51.1,178.7,inner_1
a41,39.24,178.75,inner_1
a42,39.1,170.4,inner_1
a43,26.7,170.27,inner_1
a44,134.2,149.3,inner_2
a45,134.2,112,inner_2
a46,143.3,111.8,inner_2
a47,143.4,88.8,inner_2
a48,134.3,88.8,inner_2
a49,134.1,72.8,inner_2
a50,125.9,72.6,inner_2
a51,125.9,51.5,inner_2
a52,134.1,51.5,inner_2
a53,134.1,36.3,inner_2
a54,152.2,36.1,inner_2
a55,152.5,25,inner_2
a56,185.5,25,inner_2
a57,185.5,39,inner_2
a58,177.1,39,inner_2
a59,177,70,inner_2
a60,185.6,69.9,inner_2
a61,185.66,107.23,inner_2
a62,177.1,107.1,inner_2
a63,177.1,129.9,inner_2
a64,185.56,129.9,inner_2
a65,185.5,149.5,inner_2
a66,177.2,149.4,inner_2
a67,176.95,175.3,inner_2
a68,152.86,175.24,inner_2
a69,152.8,156.24,inner_2
a70,143.4,156.3,inner_2
a71,143.4,149.44,inner_2
a72,213.8,132.04,inner_3
a73,206.77,131.94,inner_3
a74,206.7,121.03,inner_3
a75,215.22,121.03,inner_3
a76,215.22,112.4,inner_3
a77,241.1,112.54,inner_3
a78,241.1,166.93,inner_3
a79,223.85,166.8,inner_3
a80,223.87,160.77,inner_3
a81,219.69,160.84,inner_3
a82,219.7,159.41,inner_3
a83,213.88,159.38,inner_3
